model,dataset,method,selector,setting,n,score_pct,avg_visual_or_Ki,avg_TFLOPs,token_reduction_pct,flop_reduction_pct,delta_vs_dense_pp,delta_vs_static_curve_pp,label,eval_population
llava15,docvqa,dynamic_which,textsim,p25,5349,12.5,144.0,0.91,70.69,71.33,-9.03,-6.82,loss,full
llava15,docvqa,dynamic_which,textsim,p35,5349,13.35,202.0,1.208,61.2,61.93,-8.18,-6.74,loss,full
llava15,docvqa,dynamic_which,textsim,p50,5349,14.47,288.0,1.654,47.13,47.9,-7.06,-6.28,loss,full
llava15,docvqa,dynamic_which,textsim,p75,5349,17.39,432.0,2.408,23.56,24.12,-4.14,-3.97,loss,full
llava15,docvqa,dc_d,cls_attn,probe p25→p75 (esc 74.29%),4279,20.83,464.9,2.704,19.28,14.85,-1.08,-0.89,loss,eval-80%
llava15,docvqa,dc_c,cls_attn,"ridge λ1.2 (esc 100.0%, K̄=339, uniqK=301)",4279,21.23,483.5,2.838,16.06,10.64,-0.68,-0.54,loss,eval-80%
llava15,docvqa,dc_c,cls_attn,"rule λ1.0 (esc 100.0%, K̄=305, uniqK=149)",4279,20.86,448.7,2.655,22.1,16.4,-1.05,-0.84,loss,eval-80%
qwen25vl7b,gqa,dense,-,all tokens,12578,60.96,358.6,2.125,0.0,0.0,0.0,,reference,full
qwen25vl7b,gqa,static,norm,p15,12578,56.04,54.0,0.498,76.28,76.56,-4.92,,baseline,full
qwen25vl7b,gqa,static,norm,p25,12578,58.77,89.6,0.686,67.37,67.71,-2.19,,baseline,full
qwen25vl7b,gqa,static,norm,p35,12578,59.99,125.7,0.877,58.34,58.71,-0.97,,baseline,full
qwen25vl7b,gqa,static,norm,p50,12578,60.53,179.3,1.163,44.91,45.29,-0.43,,baseline,full
qwen25vl7b,gqa,static,norm,p75,12578,60.85,269.0,1.643,22.44,22.71,-0.11,,baseline,full
qwen25vl7b,gqa,dynamic_which,textsim,p15,12578,53.45,54.0,0.498,76.28,76.56,-7.51,-2.59,loss,full
qwen25vl7b,gqa,dynamic_which,textsim,p25,12578,55.97,89.6,0.686,67.37,67.71,-4.99,-2.8,loss,full
qwen25vl7b,gqa,dynamic_which,textsim,p35,12578,57.47,125.7,0.877,58.34,58.71,-3.49,-2.52,loss,full
qwen25vl7b,gqa,dynamic_which,textsim,p50,12578,58.87,179.3,1.163,44.91,45.29,-2.09,-1.66,loss,full
qwen25vl7b,gqa,dynamic_which,textsim,p75,12578,60.17,269.0,1.643,22.44,22.71,-0.79,-0.68,loss,full
qwen25vl7b,gqa,dc_d,norm,probe p25→p75 (esc 40.1%),10062,60.62,196.3,1.338,45.01,36.78,-0.46,-0.03,near-tie,eval-80%
qwen25vl7b,gqa,dc_c,norm,"ridge λ1.0 (esc 43.09%, K̄=108, uniqK=166)",10062,59.89,149.2,1.092,58.22,48.41,-1.19,-0.45,near-tie,eval-80%
qwen25vl7b,gqa,dc_c,norm,"rule λ1.0 (esc 56.63%, K̄=135, uniqK=234)",10062,60.48,195.0,1.365,45.4,35.53,-0.6,-0.19,near-tie,eval-80%
qwen25vl7b,vqav2,dense,-,all tokens,25000,84.27,358.6,2.113,0.0,0.0,0.0,,reference,full
qwen25vl7b,vqav2,static,norm,p15,25000,76.16,54.0,0.486,76.74,77.01,-8.11,,baseline,full
qwen25vl7b,vqav2,static,norm,p25,25000,78.89,89.6,0.674,67.76,68.1,-5.38,,baseline,full
qwen25vl7b,vqav2,static,norm,p35,25000,80.49,125.7,0.865,58.68,59.06,-3.78,,baseline,full
qwen25vl7b,vqav2,static,norm,p50,25000,82.09,179.3,1.15,45.17,45.55,-2.18,,baseline,full
qwen25vl7b,vqav2,static,norm,p75,25000,83.66,269.0,1.63,22.58,22.84,-0.61,,baseline,full
qwen25vl7b,vqav2,dynamic_which,textsim,p15,25000,73.55,54.0,0.486,76.74,77.01,-10.72,-2.61,loss,full
qwen25vl7b,vqav2,dynamic_which,textsim,p25,25000,77.5,89.6,0.674,67.76,68.1,-6.77,-1.39,loss,full
qwen25vl7b,vqav2,dynamic_which,textsim,p35,25000,79.54,125.7,0.865,58.68,59.06,-4.73,-0.95,loss,full
qwen25vl7b,vqav2,dynamic_which,textsim,p50,25000,81.7,179.3,1.15,45.17,45.55,-2.57,-0.39,near-tie,full
qwen25vl7b,vqav2,dynamic_which,textsim,p75,25000,83.6,269.0,1.63,22.58,22.84,-0.67,-0.06,near-tie,full
qwen25vl7b,vqav2,dc_d,norm,probe p25→p75 (esc 4.89%),20000,79.8,102.6,0.753,71.39,64.36,-4.56,0.21,near-tie,eval-80%
qwen25vl7b,vqav2,dc_c,norm,"ridge λ0.6 (esc 54.16%, K̄=100, uniqK=234)",20000,81.41,167.3,1.195,53.35,43.46,-2.95,-0.84,loss,eval-80%
qwen25vl7b,vqav2,dc_c,norm,"rule λ0.6 (esc 69.5%, K̄=106, uniqK=221)",20000,81.21,180.1,1.293,49.78,38.81,-3.15,-1.36,loss,eval-80%
qwen25vl7b,textvqa,dense,-,all tokens,5000,81.06,963.6,5.73,0.0,0.0,0.0,,reference,full
qwen25vl7b,textvqa,static,norm,p15,5000,53.06,144.6,1.223,77.98,78.65,-28.0,,baseline,full
qwen25vl7b,textvqa,static,norm,p25,5000,59.17,241.0,1.739,68.81,69.64,-21.89,,baseline,full
qwen25vl7b,textvqa,static,norm,p35,5000,63.57,337.5,2.26,59.61,60.56,-17.49,,baseline,full
qwen25vl7b,textvqa,static,norm,p50,5000,70.14,481.9,3.046,45.86,46.84,-10.92,,baseline,full
qwen25vl7b,textvqa,static,norm,p75,5000,78.43,722.7,4.375,22.94,23.63,-2.63,,baseline,full
qwen25vl7b,textvqa,dynamic_which,textsim,p15,5000,60.56,144.6,1.223,77.98,78.65,-20.5,7.5,win,full
qwen25vl7b,textvqa,dynamic_which,textsim,p25,5000,67.53,241.0,1.739,68.81,69.64,-13.53,8.36,win,full
qwen25vl7b,textvqa,dynamic_which,textsim,p35,5000,71.36,337.5,2.26,59.61,60.56,-9.7,7.79,win,full
qwen25vl7b,textvqa,dynamic_which,textsim,p50,5000,76.08,481.9,3.046,45.86,46.84,-4.98,5.94,win,full
qwen25vl7b,textvqa,dynamic_which,textsim,p75,5000,79.8,722.7,4.375,22.94,23.63,-1.26,1.37,win,full
qwen25vl7b,textvqa,dc_d,norm,probe p25→p75 (esc 13.2%),4000,64.06,337.0,2.323,65.02,59.46,-16.96,0.02,near-tie,eval-80%
qwen25vl7b,textvqa,dc_d_count_on_which,textsim,probe p15→p50 (esc 5.67%),4000,62.07,172.1,1.396,82.13,75.64,-18.95,6.99,win,eval-80%
qwen25vl7b,textvqa,dc_c,norm,"ridge λ0.6 (esc 100.0%, K̄=488, uniqK=350)",4000,71.45,728.8,4.82,24.35,15.87,-9.57,-7.89,loss,eval-80%
qwen25vl7b,textvqa,dc_c_count_on_which,textsim,"ridge λ0.6 (esc 94.72%, K̄=479, uniqK=493)",4000,77.09,617.9,4.204,35.86,26.61,-3.93,-0.35,near-tie,eval-80%
qwen25vl7b,textvqa,dc_c,norm,"rule λ0.6 (esc 86.35%, K̄=472, uniqK=529)",4000,71.59,691.9,4.56,28.18,20.4,-9.43,-7.27,loss,eval-80%
qwen25vl7b,textvqa,dc_c_count_on_which,textsim,"rule λ0.6 (esc 100.0%, K̄=520, uniqK=329)",4000,77.92,664.7,4.48,31.0,21.8,-3.1,-0.79,loss,eval-80%
qwen25vl7b,docvqa,dense,-,all tokens,5349,94.76,1229.1,6.987,0.0,0.0,0.0,,reference,full
qwen25vl7b,docvqa,static,norm,p15,5349,29.9,184.3,1.196,82.19,82.88,-64.86,,baseline,full
qwen25vl7b,docvqa,static,norm,p25,5349,49.55,307.4,1.856,72.51,73.44,-45.21,,baseline,full
qwen25vl7b,docvqa,static,norm,p35,5349,68.86,430.1,2.519,62.86,63.95,-25.9,,baseline,full
qwen25vl7b,docvqa,static,norm,p50,5349,84.79,614.6,3.528,48.34,49.51,-9.97,,baseline,full
qwen25vl7b,docvqa,static,norm,p75,5349,93.98,921.7,5.238,24.18,25.03,-0.78,,baseline,full
qwen25vl7b,docvqa,dynamic_which,textsim,p15,5349,33.09,184.3,1.196,82.19,82.88,-61.67,3.19,win,full
qwen25vl7b,docvqa,dynamic_which,textsim,p25,5349,46.57,307.4,1.856,72.51,73.44,-48.19,-2.98,loss,full
qwen25vl7b,docvqa,dynamic_which,textsim,p35,5349,57.53,430.1,2.519,62.86,63.95,-37.23,-11.33,loss,full
qwen25vl7b,docvqa,dynamic_which,textsim,p50,5349,71.36,614.6,3.528,48.34,49.51,-23.4,-13.43,loss,full
qwen25vl7b,docvqa,dynamic_which,textsim,p75,5349,88.04,921.7,5.238,24.18,25.03,-6.72,-5.94,loss,full
qwen25vl7b,docvqa,dc_d,norm,probe p25→p50 (esc 9.46%),4279,53.09,364.9,2.188,70.25,68.64,-41.57,-4.61,loss,eval-80%
qwen25vl7b,docvqa,dc_c,norm,"ridge λ0.6 (esc 100.0%, K̄=551, uniqK=287)",4279,81.55,858.1,5.037,30.06,27.8,-13.11,-11.07,loss,eval-80%
qwen25vl7b,docvqa,dc_c,norm,"rule λ0.6 (esc 100.0%, K̄=532, uniqK=216)",4279,79.28,838.9,4.931,31.62,29.31,-15.38,-12.73,loss,eval-80%
